,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,id,if,num,real,true,while,{,||,},stmts,decl,stmt,false
282,,,,,,,,,,,,,,,,,,,,,s32,s31,,s19,s29,,,,s30,s34,,,,,,
283,,,,,,,,,,,s333,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,r16,,,,,,,
286,s197,,,,s200,,,,s198,,,,,,,,,,,,,,,s206,,s234,s203,s204,,,,,,,,s205
287,s197,,,,s200,,,,s198,,,,,,,,,,,,,,,s206,,s202,s203,s204,,,,,,,,s235
288,s210,,,,s361,,,,s211,,,,,,,,,,,,,,,s219,,s215,s216,s217,,,,,,,,s218
289,s210,,,,s293,,,,s211,,,,,,,,,,,,,,,s219,,s215,s336,s295,,,,,,,,s218
290,,,,,,s342,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
291,,r37,,r37,,r37,r37,r37,r37,r37,,,,,r37,,,,,,,,,,,,,,,,r37,,,,,
292,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
293,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
294,,r43,,r43,,r43,r43,r43,r43,r43,,,,,r43,,,,,,,,,,,,,,,,r43,,,,,
295,,r44,,r44,,r44,r44,r44,r44,r44,,,,,r44,,,,,,,,,,,,,,,,r44,,,,,
296,,,,,,,,,,,s331,,,,,,,,,,,,,,,,,,,,,,,,,
297,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
298,s52,,,,s272,,,,s53,,,,,,,,,,,,,,,s61,,s273,s274,s275,,,,,,,,s276
299,,r17,,r17,,,r17,r17,r17,r17,r17,r17,r17,,r17,r17,r17,r17,,,,,,,,,,,,,r17,,,,,
300,,,,,,,,,,,,,,,,,,,,,s265,s264,,s19,s14,,,,s263,s20,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,s338,,,,,,,,,,
302,,,,,,s340,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
303,s197,,,,s200,,,,s198,,,,,,,,,,,,,,,s206,,s234,s203,s204,,,,,,,,s205
304,s69,,,,s147,,,,s70,,,,,,,,,,,,,,,s151,,s148,s75,s149,,,,,,,,s150
